,2010,2011,2012,2013,2014,2015,2016,2017
전국,25531 ,26652 ,27431 ,28362 ,29273 ,30682 ,32041 ,33657 
서울,28717 ,30163 ,31235 ,31893 ,32948 ,34646 ,36484 ,38062 
부산,18333 ,19172 ,19642 ,20354 ,21340 ,22663 ,23574 ,24293 
대구,15558 ,16692 ,17344 ,18077 ,18798 ,19795 ,20183 ,20605 
인천,22295 ,22454 ,22267 ,22849 ,24282 ,26250 ,27817 ,28757 
광주,17676 ,18501 ,19228 ,19792 ,20800 ,21593 ,22561 ,23565 
대전,18239 ,19422 ,20053 ,20357 ,21124 ,22084 ,23417 ,24361 
울산,57189 ,61819 ,62938 ,60087 ,58217 ,59872 ,61778 ,64410 
경기,22942 ,23353 ,24063 ,25867 ,26833 ,28403 ,29602 ,32347 
강원,20572 ,21655 ,22505 ,23483 ,24613 ,26088 ,27462 ,28703 
충북,25894 ,27497 ,27971 ,30162 ,31417 ,32990 ,35345 ,38034 
충남,40030 ,43549 ,44567 ,45609 ,47435 ,48733 ,49843 ,51491 
전북,20399 ,22093 ,22247 ,23346 ,24184 ,24871 ,25577 ,26569 
전남,33704 ,35247 ,36268 ,34918 ,34855 ,36433 ,38104 ,39658 
경북,30732 ,31106 ,32157 ,33497 ,34706 ,35473 ,36994 ,38406 
경남,27172 ,28118 ,29286 ,30391 ,30546 ,31228 ,32264 ,32479 
제주,19892 ,21391 ,22658 ,23152 ,24149 ,25642 ,27461 ,28420 
