"지수별(1)",지수별(2),2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08
"선행종합지수 (2015=100)",소계,97.1,97.0,96.9,97.1,97.2,97.4
"선행종합지수 (2015=100)",전국동행지수 (2015=100),98.5,98.4,98.6,98.5,99.3,99.5
"선행종합지수 (2015=100)",기업경기실사지수(전산업 전망),64.2,63.2,62.7,61.9,61.6,61.4
"선행종합지수 (2015=100)",소비자물가지수 (2015=100),105.2,105.4,105.6,105.9,106.1,106.3
"선행종합지수 (2015=100)",소비자심리지수,101.6,101.1,100.8,101.0,100.0,100.2
"선행종합지수 (2015=100)",건축허가면적 (천㎡),148.5,151.8,146.0,141.8,140.8,140.1
"동행종합지수 (2015=100)",소계,108.8,108.6,108.5,108.8,109.0,109.1
"동행종합지수 (2015=100)",취업자수 (천명),378.0,379.9,380.3,381.0,380.0,380.6
"동행종합지수 (2015=100)",관광객수 (명),1278619.0,1293962.0,1304314.0,1317357.0,1337118.0,1330432.0
"동행종합지수 (2015=100)",광공업생산지수 (2015=100),108,104,103,100,101,100
"동행종합지수 (2015=100)",기업경기실사지수(비제조업 업황) (2015=100),69,67,68,67,67,67
"동행종합지수 (2015=100)",농수축산물 생산지수 (2015=100),101,91,88,83,80,79
"동행종합지수 (2015=100)",대형소매점 판매액지수 (2015=100),95,98,96,95,94,95
